Prix,Marque,Modele,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale,Source
22000.0,Dacia,Dokker,9.0,260000.0,Diesel,Manuelle,5.0,Baniola
28000.0,Dacia,Mcv,13.0,280000.0,Diesel,Manuelle,4.0,Baniola
38000.0,VW,Jetta,14.0,18000.0,Essence,Manuelle,7.0,Baniola
45000.0,VW,6,13.0,209000.0,Essence,Manuelle,5.0,Baniola
32000.0,VW,Caddy,12.0,200000.0,Essence,Manuelle,7.0,Baniola
20000.0,VW,Passat,18.0,220000.0,Essence,Automatique,12.0,Baniola
35000.0,VW,Passat,15.0,200000.0,Essence,Manuelle,6.0,Baniola
72000.0,VW,7,8.0,116000.0,Essence,Manuelle,6.0,Baniola
40000.0,VW,Polo,6.0,198000.0,Essence,Manuelle,4.0,Baniola
62000.0,VW,Polo,1.0,20000.0,Essence,Manuelle,6.0,Baniola
43000.0,VW,Polo,7.0,144000.0,Essence,Manuelle,4.0,Baniola
43000.0,VW,Passat,17.0,128000.0,Essence,Manuelle,7.0,Baniola
43000.0,VW,7,10.0,1000.0,Essence,Manuelle,6.0,Baniola
24300.0,VW,Polo,16.0,227000.0,Essence,Manuelle,4.0,Baniola
13500.0,VW,Polo,28.0,444.0,Essence,Manuelle,4.0,Baniola
99000.0,VW,Tiguan,8.0,88500.0,Essence,Automatique,8.0,Baniola
32000.0,VW,6,16.0,235000.0,Essence,Manuelle,5.0,Baniola
125000.0,VW,Tiguan,4.0,125000.0,Essence,Automatique,8.0,Baniola
75000.0,VW,Golf,8.0,102282.0,Essence,Manuelle,6.0,Baniola
64000.0,VW,Golf,8.0,97000.0,Essence,Automatique,6.0,Baniola
43000.0,VW,Passat,12.0,200000.0,Essence,Manuelle,9.0,Baniola
22000.0,VW,Polo,18.0,278000.0,Essence,Manuelle,4.0,Baniola
48000.0,VW,7,12.0,200000.0,Diesel,Manuelle,5.0,Baniola
23500.0,VW,Caddy,15.0,319000.0,Diesel,Manuelle,8.0,Baniola
41000.0,VW,6,15.0,298000.0,Essence,Manuelle,7.0,Baniola
