Prix,Marque,Modele,Annee,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
129800.0,GEELY,"GEELY STARRAY
1.5 L TURBO GF+ Version unique",2025,0,0,Essence,Automatique,9.0
129900.0,GWM,"GWM HAVAL H6 HYBRIDE
1.5 T HEV Version unique",2025,0,0,Hybride,Automatique,8.0
129900.0,SUZUKI,"SUZUKI JIMNY 5 PORTES
1.5 L 4X4 GLX BVA Version unique",2025,0,0,Essence,Automatique,6.0
129900.0,MINI,"MINI COOPER ELECTRIC
36.6 KWH CLASSIC Version unique",2025,0,0,Electrique,Automatique,4.0
129980.0,KIA,KIA NIRO HYBRIDE 1.6 L EX,2025,0,0,Hybride,Automatique,5.0
132900.0,OMODA,"OMODA & JAECOO J7
1.5 TGDI SHS Version unique",2025,0,0,Hybride,Automatique,7.0
134900.0,RENAULT,"RENAULT AUSTRAL
1.3 L Version unique",2025,0,0,Essence,Automatique,8.0
137000.0,HYUNDAI,HYUNDAI KONA 1.6 l T-GDI 7-DCT 4WD,2025,0,0,Essence,Automatique,11.0
138900.0,GWM,"GWM POER AT
2.0 L DIESEL 4X4 Version unique",2025,0,0,Diesel,Automatique,7.0
139900.0,MINI,"MINI ACEMAN ELECTRIC
42.5 KWH Version unique",2025,0,0,Electrique,Automatique,4.0
139990.0,AUDI,AUDI A3 SPORTBACK 35 TFSI Iconic Line,2025,0,0,Essence,Automatique,8.0
140900.0,PEUGEOT,PEUGEOT 408 1.6 L Allure EAT8,2025,0,0,Essence,Automatique,13.0
142000.0,TOYOTA,"TOYOTA HIACE 16 PLACES
2.5 L DIESEL Version unique",2025,0,0,Diesel,Manuelle,10.0
142200.0,WALLYSCAR,WALLYSCAR ANNIBAL XXL 2.3 l Turbo Diesel 4x4 BVA,2025,0,0,Diesel,Automatique,8.0
145000.0,HONDA,"HONDA ZR-V
1.5 L CVT Version unique",2025,0,0,Essence,Automatique,11.0
145990.0,HONDA,"HONDA CIVIC
1.5 L CVT Version unique",2025,0,0,Essence,Automatique,10.0
146980.0,CUPRA,CUPRA LEON 1.4 TSI,2025,0,0,Essence,Automatique,8.0
149800.0,TOYOTA,"TOYOTA LAND CRUISER 79
4.2 L DIESEL 4X4 SIMPLE CABINE Version unique",2025,0,0,Diesel,Manuelle,11.0
149990.0,AUDI,"AUDI Q2
35 TFSI URBAN LINE BVA Version unique",2025,0,0,Essence,Automatique,8.0
152900.0,CITROËN,"CITROËN JUMPY COMBI
2.0 L HDI 9 PLACES Version unique",2025,0,0,Diesel,Manuelle,8.0
